[2026-04-04 11:06:34] === RPCS3 copy started ===
[2026-04-04 11:06:34] Source: C:\MY_GAMES\RPCS3\
[2026-04-04 11:06:34] Dest:   D:\RPCS3
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Kar6Q5w0FTYfXzQ9R9dfp1-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.05s at 3.4 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Kfph9vuzcXpHduP8wP0gqc-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-Kfph9vuzcXpHduP8wP0gqc-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.04s at 4.5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-km6KPFfWamRpeQQg9SKePV-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-km6KPFfWamRpeQQg9SKePV-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.06s at 3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-kpJntaGxi65Uj1zFCjhzjz-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-kpJntaGxi65Uj1zFCjhzjz-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.05s at 3.6 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-KxRK9zrNo2hni6N2p1q0xx-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-KxRK9zrNo2hni6N2p1q0xx-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.04s at 5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-m6wKVKpvwKEf3eyvXais5x-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-m6wKVKpvwKEf3eyvXais5x-00001G-znver5.obj.gz
[2026-04-04 11:06:51]    Copied in 0.11s at 1.7 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-mgPtEtpUR5rRszccQTwo3k-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-mgPtEtpUR5rRszccQTwo3k-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Copied in 0.06s at 3.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-mLNXUCaujbN8uJqyktTr4z-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-mLNXUCaujbN8uJqyktTr4z-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Copied in 0.04s at 4.5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-neWX2jG6xXJVmHAiRHvmRk-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-neWX2jG6xXJVmHAiRHvmRk-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Copied in 0.04s at 4.5 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-NsmguzPvJTHdVpjCSXRGpg-00001G-znver5.obj.gz
[2026-04-04 11:06:52]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-NsmguzPvJTHdVpjCSXRGpg-00001G-znver5.obj.gz
